jj=462, kk=359, dout(360)=0.357855+j0.123152
jj=463, kk=231, dout(232)=0.117346+j0.019482
jj=464, kk=487, dout(488)=-0.033803+j-0.033700
jj=465, kk=23, dout(24)=0.184065+j-0.003023
jj=466, kk=279, dout(280)=-0.054683+j0.057405
jj=467, kk=151, dout(152)=-0.056542+j0.045175
jj=468, kk=407, dout(408)=0.039936+j0.073178
jj=469, kk=87, dout(88)=-0.331635+j0.007222
jj=470, kk=343, dout(344)=-0.043289+j0.071347
jj=471, kk=215, dout(216)=-0.071072+j0.006234
jj=472, kk=471, dout(472)=0.066207+j-0.074203
jj=473, kk=55, dout(56)=0.038785+j-0.108852
jj=474, kk=311, dout(312)=-0.242508+j0.080085
jj=475, kk=183, dout(184)=0.028744+j-0.137760
jj=476, kk=439, dout(440)=0.004331+j0.110325
jj=477, kk=119, dout(120)=-0.027398+j0.022701
jj=478, kk=375, dout(376)=0.268634+j0.065091
jj=479, kk=247, dout(248)=-0.244495+j0.009256
jj=480, kk=503, dout(504)=-0.226163+j0.159151
jj=481, kk=15, dout(16)=0.225720+j0.038114
jj=482, kk=271, dout(272)=0.137798+j-0.008693
jj=483, kk=143, dout(144)=0.210297+j-0.047860
jj=484, kk=399, dout(400)=0.156714+j0.005310
jj=485, kk=79, dout(80)=-0.256379+j-0.027280
jj=486, kk=335, dout(336)=-0.094319+j0.078160
jj=487, kk=207, dout(208)=-0.082253+j0.019675
jj=488, kk=463, dout(464)=0.042946+j-0.001752
jj=489, kk=47, dout(48)=-0.157451+j0.003483
jj=490, kk=303, dout(304)=0.341352+j0.012093
jj=491, kk=175, dout(176)=-0.071161+j-0.036901
jj=492, kk=431, dout(432)=-0.319961+j0.025305
jj=493, kk=111, dout(112)=-0.265439+j0.004920
jj=494, kk=367, dout(368)=-0.430705+j0.041612
jj=495, kk=239, dout(240)=-0.246215+j-0.055322
jj=496, kk=495, dout(496)=-0.013912+j-0.039968
jj=497, kk=31, dout(32)=-0.008217+j0.479201
jj=498, kk=287, dout(288)=-0.240436+j-0.075230
jj=499, kk=159, dout(160)=0.090596+j0.101177
jj=500, kk=415, dout(416)=0.000199+j-0.138827
jj=501, kk=95, dout(96)=0.112507+j0.083885
jj=502, kk=351, dout(352)=-0.139438+j-0.039415
jj=503, kk=223, dout(224)=-0.134248+j0.023020
jj=504, kk=479, dout(480)=-0.108580+j-0.400172
jj=505, kk=63, dout(64)=0.030443+j-0.210433
jj=506, kk=319, dout(320)=-0.348230+j0.048396
jj=507, kk=191, dout(192)=0.281237+j0.077027
jj=508, kk=447, dout(448)=-0.213450+j0.010936
jj=509, kk=127, dout(128)=0.144039+j0.283396
